,_id_rank,代码_rank,开盘_rank,最高_rank,最低_rank,收盘_rank,成交量_rank,成交额_rank,成交笔数_rank,主动买入成交量_rank,主动买入成交额_rank,开盘收盘幅_rank,涨跌幅_rank,昨日振幅_rank,昨日成交额_rank,昨日涨跌_rank,昨日资金贡献_rank,昨日资金波动_rank,SMA2开盘比值_rank,SMA20开盘比值_rank,SMA3开盘比值_rank,SMA30开盘比值_rank,SMA4开盘比值_rank,SMA40开盘比值_rank,SMA5开盘比值_rank,SMA50开盘比值_rank,SMA6开盘比值_rank,SMA60开盘比值_rank,SMA7开盘比值_rank,SMA70开盘比值_rank,SMA8开盘比值_rank,SMA80开盘比值_rank,SMA9开盘比值_rank,SMA90开盘比值_rank
"(0.7000000000000001, 0.72)",0.00227331,0.000868897,0.005353737,0.004764401,0.005342847,0.005253964,0.000952502,0.001315106,0.002321452,-0.000114074,0.002353879,-0.005338685,0.000969838,0.002366312,0.001791581,0.00136052,-0.000575606,-0.002608188,0.001052677,0.003928145,0.001283103,0.004767369,0.001501283,0.00273805,0.00275958,0.00190343,0.002505793,0.002492411,0.004673141,0.003073362,0.003407446,0.003237579,0.00384797,0.002087884
"(0.72, 0.74)",0.000537763,0.000495657,0.00193603,0.001751991,0.002111891,0.002472684,0.001425527,0.002983187,0.001997458,0.001517654,0.002314444,0.003043722,0.002355223,0.00306847,0.003298418,0.002705842,0.000492064,-0.001089395,0.003745866,0.004298595,0.001553588,0.003866425,0.00298597,0.003345832,0.002839116,0.001546243,0.002905427,0.001233324,0.002912638,0.000290679,0.003949466,0.002373918,0.002955272,0.002000274
"(0.74, 0.76)",-2.54E-05,0.000256846,-0.002525377,-0.001715451,-0.00192277,-0.002836112,0.003532775,0.001484487,0.000774045,0.003508994,0.00238636,0.004790982,0.002870425,0.000249535,0.000802211,0.002859413,-0.001201734,-0.000490241,0.001077774,0.001466527,0.000377112,0.002599575,0.002054752,0.002173536,0.000735377,0.002415358,0.002011634,0.001014266,0.001000382,0.001786984,0.001376708,0.000467487,0.001914502,0.000717081
"(0.76, 0.78)",0.001285018,0.00263543,0.001570811,0.001183035,0.000717805,0.001959921,0.004047999,0.002801934,0.002285573,0.003391001,0.002443137,0.00601143,0.001560136,0.001590946,0.002253913,0.001198756,0.001327352,0.000393445,0.002405237,0.003528711,0.002573435,0.002676539,0.002552044,0.003451798,0.003052396,0.002860415,0.001718362,0.002926346,0.002190469,0.003929683,0.002779743,0.001664557,0.003483699,0.001511792
"(0.78, 0.8)",0.001249478,-0.00091722,0.002207985,0.00285406,0.002977111,0.002111108,0.002582899,0.003125712,0.001181976,0.002884509,0.002953805,-0.000548154,0.000381267,-0.00033838,0.002595286,0.00073525,-0.000381733,0.00014986,0.001300931,0.003585057,0.002933172,0.003049261,0.001687309,0.003402803,0.003715371,0.002047816,0.002205235,0.003509334,0.00188,0.002406729,0.0025198,0.001888818,0.001393898,0.000652735
"(0.8, 0.8200000000000001)",0.000308606,0.000636603,0.001757723,0.001528604,0.00168038,0.001630796,0.001888267,0.004368812,0.002938105,0.001686654,0.00231981,0.004249445,0.001601562,0.000612614,0.0041254,0.00168215,-0.000158479,0.001663464,0.000763931,0.003343392,0.002243104,0.003018796,0.001804767,0.002102604,0.002837936,0.002511333,0.002235625,0.002190924,0.003860663,0.00182381,0.002061486,0.001872032,0.00212967,0.002071764
"(0.8200000000000001, 0.84)",-0.000699141,-0.002587585,0.002339828,0.00184415,0.002298627,0.002255888,0.001178577,0.001771929,0.001860078,0.001394219,0.003182446,-0.001995059,4.60E-05,0.000280405,0.001040789,-7.90E-05,0.001437488,-2.10E-05,0.000368401,0.002864671,0.001939618,0.004431009,0.002059417,0.003121021,0.001306747,0.001840962,0.001987532,0.002295706,0.002819533,0.001598468,0.002012856,0.003339295,0.002809905,0.001915192
"(0.84, 0.86)",-0.001011714,0.001538554,-0.00585749,-0.005512235,-0.006271256,-0.005643021,0.00236636,0.002148075,0.002266718,0.00221807,0.002799918,-0.001663702,0.000493632,0.001549347,0.001635724,0.000137338,0.00088873,0.000530621,0.001386256,0.002424994,0.000957808,0.002329078,0.00275996,0.002725626,0.002129424,0.002888977,0.003056229,0.000912819,0.001410112,0.000518972,0.00238174,0.001022373,0.001111697,0.00274363
"(0.86, 0.88)",0.000361319,0.001185288,0.00327174,0.00299126,0.003610296,0.003191672,-0.000133239,0.002611742,0.002477582,0.000270989,0.002269651,-0.001605841,0.001275389,-0.001284426,0.00270377,0.001000401,0.000123797,0.000238235,0.000902975,0.0012536,0.001072342,0.001991668,0.001777022,0.00224699,0.00322495,0.001901129,0.001515548,0.002020588,0.001766421,0.003374112,0.002847494,0.001687869,0.003071676,0.001740805
"(0.88, 0.9)",0.000925345,-5.33E-06,0.002949499,0.002884528,0.002940795,0.002798122,-0.000911888,0.003773136,0.003404444,-0.001280981,0.003519433,-0.004706808,0.000357862,-0.000378076,0.003800024,-0.000709185,-0.001588439,-0.000361838,-0.000683634,0.002913774,0.001020933,0.001836546,0.0003866,0.002765394,0.003212233,0.002686874,0.003430672,0.003772894,0.000974887,0.002537802,0.00238559,0.002076752,0.002980265,0.000644933
"(0.9, 0.92)",-0.000701087,0.003734914,0.00346868,0.003738854,0.003475498,0.003669921,0.000456761,0.003890222,0.005125901,0.000634946,0.003595304,-0.001326741,-0.000315601,0.001267039,0.004402818,-0.001664479,0.000472929,-0.004601406,-0.001769222,0.000908201,-0.000646234,-0.000407303,0.001631447,7.97E-05,0.000944757,-0.000787647,0.001700579,0.001523659,0.002653743,0.003155322,0.000851032,0.00249567,0.003522785,0.000300509
"(0.92, 0.9400000000000001)",-0.002075234,0.002050828,-0.001322784,-0.001121946,-0.001397581,-0.001603505,-0.000629985,0.003523698,0.003054949,-0.000710118,0.003577368,-0.000852882,-0.002196187,0.000197218,0.003496314,-0.001259886,-0.001281769,-0.001817006,-0.000702803,0.00123795,-0.001204089,-0.001528013,-4.97E-05,-0.000893547,-0.000168985,-0.000547779,-0.000232246,0.000665851,0.001343058,0.000473658,0.001723504,-0.001220836,0.000928688,0.000836338
"(0.9400000000000001, 0.96)",0.001923261,0.00157031,0.004006429,0.003359804,0.004416891,0.003964095,-3.93E-05,0.004239507,0.004694542,9.27E-05,0.005292672,0.004105349,0.001297532,0.002275395,0.004513406,0.001686304,-0.002979062,4.00E-05,0.001269654,0.000992262,0.000988084,0.001896979,1.84E-05,0.000763446,9.50E-05,0.000858168,0.000965629,-0.000215951,0.00278548,-0.000126446,0.001829349,0.000252138,0.000714203,0.001507736
"(0.96, 0.98)",0.002229327,-0.00134013,0.000690319,0.001088371,0.000574212,0.000943677,-0.00139982,0.003045933,0.004685439,-0.001267591,0.002573214,0.00162983,-0.001506879,-0.000551345,0.00311651,-0.001236897,-0.004343555,0.000215566,-0.001382595,-0.000505274,-0.0021291,-0.000212141,-0.003584756,-0.001409868,-0.002611669,-0.001861237,-0.002272808,-7.55E-05,-0.001804475,-0.002763974,-0.002128858,-0.002188116,-0.001404739,-0.000937761
"(0.98, 1.0)",0.001164481,-0.00228642,-0.001110524,-0.001089828,-0.001138071,-0.001089828,0.002021335,0.00502226,0.00244528,0.001980168,0.00489309,0.001335208,-0.004939813,0.000504005,0.004052242,-0.004318724,-2.97E-05,0.000489061,-0.003515094,-0.005943216,-0.003398329,-0.003218827,-0.004130971,-0.004843788,-0.004431226,-0.00377674,-0.004650473,0.000856915,-0.005563531,0.004738939,-0.004829626,0.00570102,-0.004980416,0.00495499
