,_id_rank,代码_rank,开盘_rank,最高_rank,最低_rank,收盘_rank,成交量_rank,成交额_rank,成交笔数_rank,主动买入成交量_rank,主动买入成交额_rank,开盘收盘幅_rank,涨跌幅_rank,昨日振幅_rank,昨日成交额_rank,昨日涨跌_rank,昨日资金贡献_rank,昨日资金波动_rank,SMA2开盘比值_rank,SMA20开盘比值_rank,SMA3开盘比值_rank,SMA30开盘比值_rank,SMA4开盘比值_rank,SMA40开盘比值_rank,SMA5开盘比值_rank,SMA50开盘比值_rank,SMA6开盘比值_rank,SMA60开盘比值_rank,SMA7开盘比值_rank,SMA70开盘比值_rank,SMA8开盘比值_rank,SMA80开盘比值_rank,SMA9开盘比值_rank,SMA90开盘比值_rank
"(0.64, 0.66)",-8.26E-05,-0.000290106,-0.000139532,-0.000140745,-0.000135616,-0.000138973,-0.00012206,-6.00E-05,-0.000115239,-0.000117542,-9.70E-07,-6.06E-07,-9.93E-05,-6.97E-05,7.40E-05,-8.61E-05,-0.000185763,-0.000132583,-0.000126305,-7.17E-05,-7.04E-05,-9.89E-05,-8.52E-05,-5.41E-05,-4.29E-05,-0.000105635,-8.24E-05,-0.000109658,-7.08E-05,-0.000101405,-8.55E-05,-9.65E-05,-4.83E-05,-8.67E-05
"(0.66, 0.68)",-2.97E-05,-1.30E-05,-5.23E-05,-5.49E-05,-5.29E-05,-5.43E-05,-0.000116419,2.49E-05,-4.15E-05,-7.06E-05,1.20E-05,-0.000165756,-8.15E-05,-7.03E-05,0.000167622,-6.38E-05,-0.000150099,-0.000157435,-6.43E-05,-7.26E-06,-3.91E-05,-6.04E-05,-5.74E-05,-5.52E-05,-4.87E-05,-4.34E-05,-3.39E-05,-5.22E-05,-1.75E-05,-8.12E-05,-8.65E-05,-6.97E-05,-2.77E-05,-5.17E-05
"(0.68, 0.7000000000000001)",5.74E-05,-3.57E-05,-8.25E-05,-7.88E-05,-8.42E-05,-8.22E-05,-6.95E-05,7.58E-06,-5.02E-05,-4.14E-05,1.44E-06,-0.000123472,-2.77E-05,-6.33E-05,0.000275375,-5.25E-05,-0.000128434,-0.000110353,-6.02E-05,-2.80E-05,-7.04E-05,-3.28E-05,-5.45E-05,-1.26E-05,4.40E-06,-6.33E-05,-4.61E-05,-4.97E-05,-3.53E-05,-6.33E-05,-2.22E-05,-8.20E-05,-1.82E-05,-8.08E-05
"(0.7000000000000001, 0.72)",-0.000114661,-0.00016753,5.49E-05,4.15E-05,5.34E-05,4.63E-05,-0.000110489,-6.90E-05,-4.40E-05,-0.000121502,4.60E-06,-0.000177405,-0.000134075,-6.77E-05,0.000276887,-0.000116979,-0.000155696,-0.00016117,-6.80E-05,-4.36E-05,-0.000115639,-5.77E-05,-9.13E-05,-3.51E-05,-6.88E-05,-6.71E-05,-6.26E-05,-9.47E-05,-8.11E-05,-0.000102994,-5.95E-05,-8.94E-05,-3.59E-05,-0.000113088
"(0.72, 0.74)",-7.00E-05,-3.76E-05,-0.000171196,-0.000175538,-0.000166032,-0.000166973,-4.16E-05,8.19E-05,6.07E-05,-3.23E-05,3.19E-05,-0.000165752,-8.92E-06,-1.12E-05,0.000412667,-5.58E-05,-0.000111774,-0.000135257,-5.08E-05,-4.14E-05,-7.22E-05,3.03E-06,-5.63E-05,-1.57E-06,-5.14E-05,-6.75E-05,-4.43E-05,-4.73E-05,-4.12E-05,-8.27E-05,-5.42E-05,-5.03E-05,-6.26E-05,-6.77E-05
"(0.74, 0.76)",-6.64E-05,-0.0001381,-0.000174392,-0.000167961,-0.000175318,-0.000172402,-0.000105919,2.67E-05,-7.57E-05,-5.48E-05,2.48E-05,-6.32E-05,-8.48E-05,-4.97E-05,0.000376956,-0.000114904,-0.000149476,-0.000150395,-8.91E-05,-7.37E-05,-9.79E-05,-8.46E-05,-6.94E-05,-7.40E-05,-0.000113415,-3.10E-05,-6.65E-05,-0.000118751,-8.74E-05,-9.18E-05,-7.06E-05,-0.000118662,-8.78E-05,-0.000110303
"(0.76, 0.78)",-4.34E-05,-0.000135243,-5.14E-05,-5.37E-05,-5.21E-05,-5.35E-05,-5.01E-05,4.70E-05,3.48E-05,-3.31E-05,3.77E-05,-0.000162636,-8.68E-05,-6.43E-05,0.000416463,-0.00011536,-0.000134815,-0.000101526,-6.67E-05,-3.98E-05,-9.44E-05,-1.30E-05,-5.85E-05,-7.10E-05,-3.06E-05,-8.16E-05,-6.58E-05,-9.72E-05,-5.87E-05,-8.46E-05,-6.29E-05,-0.000119873,-4.80E-05,-0.00010387
"(0.78, 0.8)",-2.88E-05,-3.55E-05,-3.20E-05,-3.12E-05,-3.22E-05,-3.17E-05,-3.70E-05,9.88E-05,2.53E-05,-9.75E-06,4.18E-05,-0.000189362,-7.96E-06,-2.32E-05,0.000584949,-5.54E-05,-0.000128461,-0.000131067,-6.73E-05,-2.99E-05,-6.99E-05,-5.56E-05,-7.90E-05,-2.56E-05,-8.28E-05,-4.88E-05,-3.11E-05,-6.06E-05,-4.60E-05,-5.15E-05,-8.82E-06,-6.36E-05,-3.96E-05,-9.29E-05
"(0.8, 0.8200000000000001)",-2.58E-05,-0.000134933,-2.23E-05,-2.39E-05,-2.56E-05,-2.28E-05,-5.09E-05,2.53E-05,1.65E-05,-4.01E-05,5.57E-05,-8.89E-05,-7.07E-05,-2.21E-05,0.000686225,-0.000143421,-0.000134776,-0.000144754,-0.000112366,-7.19E-05,-6.91E-05,-5.49E-05,-3.71E-05,-6.13E-05,-8.85E-05,-5.36E-05,-9.66E-05,-6.69E-05,-6.58E-05,-9.17E-05,-8.76E-05,-0.000110865,-7.03E-05,-0.000132238
"(0.8200000000000001, 0.84)",-6.73E-05,-5.95E-05,-6.82E-05,-6.64E-05,-6.47E-05,-6.69E-05,-5.11E-05,0.000118014,5.04E-05,-3.47E-05,0.000107335,-0.000123272,3.22E-05,-2.64E-05,0.000800986,-3.54E-05,-0.000111273,-0.000146488,-8.34E-05,-6.93E-05,-3.75E-05,-6.91E-05,-5.17E-05,-7.28E-05,-6.02E-05,-4.64E-05,-2.59E-05,-4.79E-05,-3.10E-05,-7.11E-05,-6.15E-05,-0.000134706,-6.44E-05,-9.24E-05
