candle_end_time,open,high,low,close,amount,info,ÅÅÃû,±ê×¼»¯³É½»Á¿,µ±ÈÕ³Ö²ÖÕÇµø·ù,µ±ÈÕ¿ª²ÖÕÇµø·ù,µ±ÈÕÆ½²ÖÕÇµø·ù,×Ê½ðÇúÏß,signal,pos,×´Ì¬,×îÖÕÕÇµø·ù
2007-02-15,2607.63,2669.18,2607.63,2668.63,71631300.0,,21.0,0.0,0.03101589815905892,0.02327009691699412,0.007327866942260508,1.2910081322051772,,0.0,¿Õ²Ö,0.0
2007-02-16,2692.67,2717.57,2660.49,2676.74,75908800.0,,22.0,0.050000000000000044,0.003039012527026763,-0.006035336769663221,0.00888728658525162,1.2949315220914424,,0.0,¿Õ²Ö,0.0
2007-02-26,2679.26,2710.3,2641.12,2707.68,74531600.0,,21.0,0.0,0.011558836495139557,0.010486148184914239,0.0008213307231932365,1.3098994238276997,,0.0,¿Õ²Ö,0.0
2007-02-27,2717.81,2719.52,2454.92,2457.49,107737000.0,,41.0,1.0,-0.09240013590970875,-0.09589149477571661,0.0036207612420966484,1.188864539037971,1.0,0.0,¿Õ²Ö,0.0
2007-02-28,2413.42,2554.23,2413.33,2544.57,82822600.0,,29.0,0.4,0.03543452872646502,0.054215465288847985,-0.01805077961660062,1.2309913936983876,,1.0,¿ª²Ö,0.054215465288847985
2007-03-01,2550.26,2550.33,2439.5,2473.54,82159700.0,,28.0,0.35,-0.0279143430913672,-0.030199583252412697,0.0021158658633875227,1.1966290775921706,,1.0,³Ö²Ö,-0.0279143430913672
2007-03-02,2468.67,2523.86,2455.82,2508.73,57946800.0,,7.0,-0.7,0.014226574059849506,0.016105428640270824,-0.0020886019227503994,1.2136530097867049,0.0,1.0,³Ö²Ö,0.014226574059849506
2007-03-05,2503.82,2541.82,2409.72,2475.61,68517500.0,,14.0,-0.3500000000000001,-0.013201898968800863,-0.01138541810333541,-0.002076930717932912,1.1976304853683197,,0.0,Æ½²Ö,-0.002076930717932912
2007-03-06,2467.74,2539.45,2452.14,2520.29,52633200.0,,3.0,-0.8999999999999999,0.01804807703959832,0.021172247273951846,-0.003298632983386063,1.2192454126332186,,0.0,¿Õ²Ö,0.0
2007-03-07,2532.98,2594.46,2532.15,2589.44,59721000.0,,8.0,-0.6499999999999999,0.027437318721258208,0.022167290891938467,0.0049145306294118285,1.2526982376190683,,0.0,¿Õ²Ö,0.0
2007-03-08,2597.72,2628.45,2565.11,2627.63,55386600.0,,5.0,-0.8,0.01474836258032619,0.01139257588705948,0.003077218858131392,1.27117348543121,,0.0,¿Õ²Ö,0.0
