日期,日期,收益率,资金余额
81,2022-01-31 00:00:00,0.12962667662889005,5.955908631728625
82,2022-02-01 00:00:00,0.14273501979555703,6.806025368178939
83,2022-02-02 00:00:00,0.1871455045721846,8.079742419837874
84,2022-02-03 00:00:00,0.22279022331480003,9.879830037879618
85,2022-02-04 00:00:00,0.3017132709297379,12.860705874838153
86,2022-02-05 00:00:00,0.10733282785024634,14.241081804534808
87,2022-02-06 00:00:00,0.10327063969984773,15.71176743250698
88,2022-02-07 00:00:00,-0.010553916992416479,15.54594674322015
89,2022-02-08 00:00:00,0.08102980914101043,16.80563184073959
90,2022-02-09 00:00:00,0.020424928166086653,17.148885663872395
91,2022-02-10 00:00:00,-0.015250712976332181,16.88735293074874
92,2022-02-11 00:00:00,0.204206172144751,20.335854630394383
93,2022-02-12 00:00:00,-0.0453523726056656,19.413575373942088
94,2022-02-13 00:00:00,-0.014733301948544386,19.127549306056974
95,2022-02-14 00:00:00,-0.14824854259705733,16.291917997980672
96,2022-02-15 00:00:00,-0.25425333593343824,12.149643498240064
97,2022-02-16 00:00:00,-0.1668699587147202,10.122232989290175
98,2022-02-17 00:00:00,-0.13717337937059204,8.733732083372752
99,2022-02-18 00:00:00,-0.19888157894736846,6.9967536565282895
100,2022-02-19 00:00:00,-0.13201376716850854,6.073085848379953
101,2022-02-20 00:00:00,-0.1186390369957987,5.352580791735342
102,2022-02-23 00:00:00,0.033337349397590366,5.531021647768254
103,2022-02-26 00:00:00,-0.0645319274190378,5.174094160241347
104,2022-02-27 00:00:00,0.05894442173261916,5.479078148506894
105,2022-02-28 00:00:00,-0.1825688073394497,4.47876938561435
106,2022-03-01 00:00:00,-0.15267904715189873,3.794955143405656
107,2022-03-02 00:00:00,-0.14764665192057724,3.234642722293037
108,2022-03-03 00:00:00,-0.0686864894206366,3.012466469168717
109,2022-03-04 00:00:00,-0.025354756076525264,2.936086116654233
110,2022-03-05 00:00:00,-0.08564310084639726,2.6846305972719073
111,2022-03-06 00:00:00,-0.05747622765638882,2.5303281578898003
112,2022-03-07 00:00:00,-0.09802540415704375,2.2822917175627047
113,2022-03-08 00:00:00,-0.06462068965517231,2.134808452779515
114,2022-03-09 00:00:00,-0.12921753607103226,1.8589537645277332
115,2022-03-10 00:00:00,0.022835297668790444,1.9014035270932426
116,2022-03-12 00:00:00,0.018628240624213532,1.9368233295196637
117,2022-03-13 00:00:00,0.17604534122779691,2.277792053462911
118,2022-03-14 00:00:00,0.0262673267326734,2.3376235615603083
119,2022-03-15 00:00:00,0.04518993586581166,2.4432606203856286
120,2022-03-16 00:00:00,0.15886706673940698,2.8314142684261974
121,2022-03-17 00:00:00,0.17686019021831734,3.3321787345269125
122,2022-03-18 00:00:00,0.1432590613112843,3.809543532156661
123,2022-03-19 00:00:00,0.049226847433637255,3.9970753504059364
124,2022-03-20 00:00:00,0.09944537397120312,4.394566003418133
125,2022-03-21 00:00:00,0.20394037215686378,5.290795429623128
126,2022-03-22 00:00:00,0.10577840910629122,5.8504473530754995
127,2022-03-23 00:00:00,0.21066629325730446,7.082939410844923
128,2022-03-24 00:00:00,0.19304158776942626,8.450241280789072
129,2022-03-25 00:00:00,0.08208404477029241,9.143871264401135
130,2022-03-26 00:00:00,0.17262135922330124,10.722298750624944
131,2022-03-27 00:00:00,0.1965573770491802,12.829845668985485
132,2022-04-17 00:00:00,0.32000000000000006,16.93539628306084
133,2022-05-02 00:00:00,-0.13146576858435677,14.708971394427587
134,2022-05-03 00:00:00,-0.27304212359030733,10.692802609063994
135,2022-05-04 00:00:00,-0.3863493905977946,6.561644837269612
136,2022-05-11 00:00:00,0.07939051918735895,7.0825772276235
137,2022-05-13 00:00:00,0.03720886343030494,7.346111876420731
138,2022-05-14 00:00:00,0.08024269142334806,7.935583664881753
139,2022-05-15 00:00:00,0.02406897196539215,8.126585005640816
140,2022-05-16 00:00:00,0.1463475606028597,9.315890897248126
141,2022-05-17 00:00:00,-0.003264996141449261,9.285474549414449
142,2022-05-18 00:00:00,0.1448213741305111,10.630209733114537
143,2022-05-19 00:00:00,0.015566411781043676,10.795683955139056
144,2022-05-20 00:00:00,-0.02545665427002719,10.520861961084602
145,2022-05-21 00:00:00,-0.1233028288589173,9.223609919248695
146,2022-05-22 00:00:00,-0.10312493550575785,8.272425741195905
147,2022-05-23 00:00:00,-0.005659364658628485,8.225609067315052
148,2022-05-24 00:00:00,0.040795758163051365,8.56117902556904
149,2022-05-25 00:00:00,0.03313666683084859,8.84486796261857
150,2022-05-26 00:00:00,0.04654780594605845,9.256577160161049
151,2022-05-27 00:00:00,0.15366119046841398,10.678953826254126
152,2022-05-28 00:00:00,0.032425621891627676,11.025225545222394
153,2022-05-29 00:00:00,-0.006206906039223248,10.956793006201956
154,2022-05-30 00:00:00,-0.0971445870887725,9.892399873797316
155,2022-05-31 00:00:00,-0.07305441223455045,9.169716415427912
156,2022-06-01 00:00:00,-0.012514067503003878,9.054965965221845
157,2022-06-02 00:00:00,-0.012589567573497273,8.940967859326966
158,2022-06-03 00:00:00,0.015329413432584094,9.078027652130036
159,2022-06-04 00:00:00,-0.06526300569450771,8.485568281774174
160,2022-06-05 00:00:00,-0.14366699088769408,7.266472220759618
161,2022-06-06 00:00:00,-0.23469426718680675,5.561072847875151
162,2022-06-07 00:00:00,-0.26657234911048056,4.078644595242562
163,2022-06-08 00:00:00,-0.24706327319384602,3.070961311347545
164,2022-06-09 00:00:00,-0.18404096258510438,2.5057786355455285
165,2022-06-10 00:00:00,-0.23238283464193865,1.9234786932322492
166,2022-06-11 00:00:00,-0.10817198576538001,1.7154121834079186
167,2022-06-12 00:00:00,-0.20352347401412718,1.3662855364745798
168,2022-06-13 00:00:00,-0.07600163019460038,1.2624456083912077
169,2022-06-14 00:00:00,0.03209861281102255,1.3029683611699328
170,2022-06-15 00:00:00,-0.04619490591517206,1.2427778603152417
171,2022-06-16 00:00:00,0.04776351968137793,1.3021373051059895
172,2022-06-17 00:00:00,0.19508104188883912,1.556159607268391
173,2022-06-18 00:00:00,0.26892213995180203,1.9746453789615626
174,2022-06-19 00:00:00,0.3025884703872077,2.57215030373871
175,2022-06-20 00:00:00,0.10019845526111193,2.8298757908727286
176,2022-06-21 00:00:00,0.07478251016536763,3.041501005970396
177,2022-06-22 00:00:00,0.05617698384961889,3.2123633588613947
178,2022-06-23 00:00:00,-0.01775883118853505,3.1553155402551396
179,2022-06-24 00:00:00,-0.08033020659919177,2.901848391020804
180,2022-06-25 00:00:00,-0.11379969668180678,2.571618924306047
181,2022-06-26 00:00:00,-0.059539890626658654,2.4185050148194196
182,2022-06-27 00:00:00,-0.058462453840765205,2.27711327702688
183,2022-06-28 00:00:00,0.03028804003481289,2.346082575125274
184,2022-06-29 00:00:00,0.00016006461050266374,2.3464580999188684
185,2022-06-30 00:00:00,0.07725190669731363,2.5277264621229567
186,2022-07-01 00:00:00,0.12679937571675381,2.8482405995028666
187,2022-07-02 00:00:00,0.10739267881637948,3.15412078739705
188,2022-07-03 00:00:00,0.14161705209880204,3.6007980752717725
189,2022-07-04 00:00:00,0.05430507268603524,3.796339676477142
190,2022-07-05 00:00:00,0.005664669993974858,3.8178446879294183
191,2022-07-06 00:00:00,-0.06388589597446581,3.5739382593496924
192,2022-07-07 00:00:00,-0.05850136888370916,3.364857978871875
193,2022-07-08 00:00:00,-0.01689473100956862,3.3080096084334336
194,2022-07-09 00:00:00,-0.03721280932656301,3.184909277624362
195,2022-07-10 00:00:00,0.06579715446768342,3.39446724532977
196,2022-07-11 00:00:00,0.1125708845323532,3.7765854256526423
197,2022-07-12 00:00:00,0.31534224817234335,4.967502364192852
198,2022-07-13 00:00:00,0.16097165598604457,5.767129445871567
199,2022-07-14 00:00:00,0.10095352474387687,6.349341491086503
200,2022-07-15 00:00:00,0.14255255875809514,7.254456367069823
201,2022-07-16 00:00:00,0.047631689910700326,7.599998383216798
202,2022-07-17 00:00:00,0.09448605918979958,8.3180922802958
203,2022-07-18 00:00:00,-0.004467256775111839,8.280933226200643
204,2022-07-19 00:00:00,-0.1380492671247342,7.137756463214783
205,2022-07-20 00:00:00,-0.10533073237391666,6.3859313474377135
206,2022-07-21 00:00:00,-0.045451790088410604,6.095679336314974
207,2022-07-22 00:00:00,0.049514184902211156,6.397501930077861
208,2022-07-23 00:00:00,0.0653048177125668,6.81528962743739
209,2022-07-24 00:00:00,0.07071900392930619,7.2972601213794945
210,2022-07-25 00:00:00,0.19047400671989845,8.687198494775979
211,2022-07-26 00:00:00,0.16948740975842047,10.15956926571281
212,2022-07-27 00:00:00,0.09924001222207846,11.167805043813201
213,2022-07-28 00:00:00,0.008222993955822044,11.259637837188276
214,2022-07-29 00:00:00,0.019301292163922845,11.476963396743807
215,2022-07-30 00:00:00,0.06008947790791885,12.166608135222438
216,2022-07-31 00:00:00,0.04564555496781919,12.72195971563065
217,2022-08-01 00:00:00,0.03372993926989998,13.151070644232986
218,2022-08-02 00:00:00,0.09998059273533677,14.465922482347686
219,2022-08-03 00:00:00,0.03159332198328246,14.922949029117701
220,2022-08-04 00:00:00,0.05750965233857963,15.781162639648604
221,2022-08-05 00:00:00,-0.00431682107360476,15.713038184199785
222,2022-08-06 00:00:00,0.042386175565090056,16.379053779336243
223,2022-08-07 00:00:00,0.025342704424562656,16.79414329801998
224,2022-08-08 00:00:00,-0.015820049645340117,16.528459117294346
225,2022-08-09 00:00:00,-0.04080447065669435,15.854024092242337
226,2022-08-10 00:00:00,-0.07266043769376751,14.702063762492473
227,2022-08-11 00:00:00,-0.08655509208100687,13.429525279749104
228,2022-08-12 00:00:00,-0.15903225806451604,11.293797549776102
229,2022-08-13 00:00:00,-0.23717847273267434,8.615151895568186
230,2022-08-14 00:00:00,-0.21415639497339134,6.770162023465124
231,2022-08-15 00:00:00,-0.19802512107381665,5.429499869079088
